# Final state angular momentum:   1
# Broadening parameter (in eV):    0.400
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00225240
   -9.95995996    0.00228116
   -9.91991992    0.00231034
   -9.87987988    0.00233989
   -9.83983984    0.00236983
   -9.79979980    0.00240021
   -9.75975976    0.00243114
   -9.71971972    0.00246277
   -9.67967968    0.00249525
   -9.63963964    0.00252876
   -9.59959960    0.00256341
   -9.55955956    0.00259931
   -9.51951952    0.00263655
   -9.47947948    0.00267517
   -9.43943944    0.00271522
   -9.39939940    0.00275673
   -9.35935936    0.00279973
   -9.31931932    0.00284426
   -9.27927928    0.00289037
   -9.23923924    0.00293813
   -9.19919920    0.00298761
   -9.15915916    0.00303892
   -9.11911912    0.00309215
   -9.07907908    0.00314743
   -9.03903904    0.00320487
   -8.99899900    0.00326460
   -8.95895896    0.00332676
   -8.91891892    0.00339146
   -8.87887888    0.00345884
   -8.83883884    0.00352901
   -8.79879880    0.00360202
   -8.75875876    0.00367789
   -8.71871872    0.00375654
   -8.67867868    0.00383778
   -8.63863864    0.00392125
   -8.59859860    0.00400651
   -8.55855856    0.00409297
   -8.51851852    0.00418011
   -8.47847848    0.00426753
   -8.43843844    0.00435512
   -8.39839840    0.00444313
   -8.35835836    0.00453213
   -8.31831832    0.00462294
   -8.27827828    0.00471642
   -8.23823824    0.00481343
   -8.19819820    0.00491469
   -8.15815816    0.00502080
   -8.11811812    0.00513223
   -8.07807808    0.00524936
   -8.03803804    0.00537246
   -7.99799800    0.00550173
   -7.95795796    0.00563725
   -7.91791792    0.00577900
   -7.87787788    0.00592683
   -7.83783784    0.00608049
   -7.79779780    0.00623964
   -7.75775776    0.00640393
   -7.71771772    0.00657310
   -7.67767768    0.00674711
   -7.63763764    0.00692623
   -7.59759760    0.00711109
   -7.55755756    0.00730270
   -7.51751752    0.00750227
   -7.47747748    0.00771116
   -7.43743744    0.00793071
   -7.39739740    0.00816219
   -7.35735736    0.00840681
   -7.31731732    0.00866569
   -7.27727728    0.00893993
   -7.23723724    0.00923065
   -7.19719720    0.00953902
   -7.15715716    0.00986630
   -7.11711712    0.01021387
   -7.07707708    0.01058324
   -7.03703704    0.01097609
   -6.99699700    0.01139425
   -6.95695696    0.01183978
   -6.91691692    0.01231490
   -6.87687688    0.01282202
   -6.83683684    0.01336374
   -6.79679680    0.01394279
   -6.75675676    0.01456200
   -6.71671672    0.01522423
   -6.67667668    0.01593233
   -6.63663664    0.01668917
   -6.59659660    0.01749773
   -6.55655656    0.01836136
   -6.51651652    0.01928422
   -6.47647648    0.02027176
   -6.43643644    0.02133106
   -6.39639640    0.02247094
   -6.35635636    0.02370166
   -6.31631632    0.02503431
   -6.27627628    0.02648007
   -6.23623624    0.02804949
   -6.19619620    0.02975189
   -6.15615616    0.03159507
   -6.11611612    0.03358555
   -6.07607608    0.03572968
   -6.03603604    0.03803590
   -5.99599600    0.04051789
   -5.95595596    0.04319799
   -5.91591592    0.04610970
   -5.87587588    0.04929839
   -5.83583584    0.05282004
   -5.79579580    0.05673888
   -5.75575576    0.06112487
   -5.71571572    0.06605161
   -5.67567568    0.07159471
   -5.63563564    0.07782991
   -5.59559560    0.08483011
   -5.55555556    0.09266060
   -5.51551552    0.10137186
   -5.47547548    0.11098964
   -5.43543544    0.12150284
   -5.39539540    0.13284993
   -5.35535536    0.14490465
   -5.31531532    0.15746086
   -5.27527528    0.17021581
   -5.23523524    0.18275281
   -5.19519520    0.19453130
   -5.15515516    0.20490084
   -5.11511512    0.21315823
   -5.07507508    0.21865412
   -5.03503504    0.22092870
   -4.99499499    0.21983110
   -4.95495495    0.21557356
   -4.91491491    0.20869591
   -4.87487487    0.19995435
   -4.83483483    0.19017767
   -4.79479479    0.18013807
   -4.75475475    0.17046616
   -4.71471471    0.16161476
   -4.67467467    0.15385891
   -4.63463463    0.14731406
   -4.59459459    0.14195817
   -4.55455455    0.13765073
   -4.51451451    0.13414940
   -4.47447447    0.13113051
   -4.43443443    0.12822219
   -4.39439439    0.12505509
   -4.35435435    0.12132583
   -4.31431431    0.11685550
   -4.27427427    0.11162061
   -4.23423423    0.10574265
   -4.19419419    0.09944171
   -4.15415415    0.09297534
   -4.11411411    0.08658519
   -4.07407407    0.08046427
   -4.03403403    0.07474529
   -3.99399399    0.06950378
   -3.95395395    0.06476823
   -3.91391391    0.06053163
   -3.87387387    0.05676142
   -3.83383383    0.05340719
   -3.79379379    0.05040683
   -3.75375375    0.04769228
   -3.71371371    0.04519601
   -3.67367367    0.04285819
   -3.63363363    0.04063330
   -3.59359359    0.03849406
   -3.55355355    0.03643117
   -3.51351351    0.03444912
   -3.47347347    0.03255988
   -3.43343343    0.03077680
   -3.39339339    0.02911051
   -3.35335335    0.02756699
   -3.31331331    0.02614742
   -3.27327327    0.02484906
   -3.23323323    0.02366643
   -3.19319319    0.02259242
   -3.15315315    0.02161920
   -3.11311311    0.02073886
   -3.07307307    0.01994380
   -3.03303303    0.01922701
   -2.99299299    0.01858212
   -2.95295295    0.01800353
   -2.91291291    0.01748633
   -2.87287287    0.01702633
   -2.83283283    0.01662002
