# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06431936
   -9.86622074    0.06706019
   -9.73244147    0.06970044
   -9.59866221    0.07209193
   -9.46488294    0.07422822
   -9.33110368    0.07620101
   -9.19732441    0.07803834
   -9.06354515    0.07958767
   -8.92976589    0.08062968
   -8.79598662    0.08116168
   -8.66220736    0.08152500
   -8.52842809    0.08219623
   -8.39464883    0.08344975
   -8.26086957    0.08519050
   -8.12709030    0.08705926
   -7.99331104    0.08870270
   -7.85953177    0.08997355
   -7.72575251    0.09091215
   -7.59197324    0.09160975
   -7.45819398    0.09214136
   -7.32441472    0.09261701
   -7.19063545    0.09324072
   -7.05685619    0.09428490
   -6.92307692    0.09602781
   -6.78929766    0.09869203
   -6.65551839    0.10232770
   -6.52173913    0.10665833
   -6.38795987    0.11103270
   -6.25418060    0.11458784
   -6.12040134    0.11659696
   -5.98662207    0.11686085
   -5.85284281    0.11588718
   -5.71906355    0.11466074
   -5.58528428    0.11414296
   -5.45150502    0.11483465
   -5.31772575    0.11659891
   -5.18394649    0.11876185
   -5.05016722    0.12042145
   -4.91638796    0.12081241
   -4.78260870    0.11951701
   -4.64882943    0.11642163
   -4.51505017    0.11158245
   -4.38127090    0.10521949
   -4.24749164    0.09775942
   -4.11371237    0.08974789
   -3.97993311    0.08170968
   -3.84615385    0.07408690
   -3.71237458    0.06721748
   -3.57859532    0.06131378
   -3.44481605    0.05646893
   -3.31103679    0.05269190
   -3.17725753    0.04994321
   -3.04347826    0.04815342
   -2.90969900    0.04721904
   -2.77591973    0.04698694
   -2.64214047    0.04725522
   -2.50836120    0.04780914
   -2.37458194    0.04846517
   -2.24080268    0.04906901
   -2.10702341    0.04944896
   -1.97324415    0.04939218
   -1.83946488    0.04869401
   -1.70568562    0.04725861
   -1.57190635    0.04517413
   -1.43812709    0.04270367
   -1.30434783    0.04019159
   -1.17056856    0.03793409
   -1.03678930    0.03608180
   -0.90301003    0.03460638
   -0.76923077    0.03332501
   -0.63545151    0.03198295
   -0.50167224    0.03038520
   -0.36789298    0.02850308
   -0.23411371    0.02646523
   -0.10033445    0.02445354
    0.03344482    0.02260911
    0.16722408    0.02100264
    0.30100334    0.01964918
    0.43478261    0.01853300
    0.56856187    0.01762630
    0.70234114    0.01689957
    0.83612040    0.01632616
    0.96989967    0.01588382
    1.10367893    0.01555474
    1.23745819    0.01532508
    1.37123746    0.01518439
    1.50501672    0.01512507
    1.63879599    0.01514191
    1.77257525    0.01523175
    1.90635452    0.01539326
    2.04013378    0.01562682
    2.17391304    0.01593445
    2.30769231    0.01631987
    2.44147157    0.01678861
    2.57525084    0.01734824
    2.70903010    0.01800868
    2.84280936    0.01878266
    2.97658863    0.01968634
    3.11036789    0.02074005
    3.24414716    0.02196933
    3.37792642    0.02340607
    3.51170569    0.02508984
    3.64548495    0.02706906
    3.77926421    0.02940141
    3.91304348    0.03215230
    4.04682274    0.03538946
    4.18060201    0.03917142
    4.31438127    0.04353007
    4.44816054    0.04845277
    4.58193980    0.05387104
    4.71571906    0.05964788
    4.84949833    0.06554381
    4.98327759    0.07119598
    5.11705686    0.07622266
    5.25083612    0.08047128
    5.38461538    0.08418704
    5.51839465    0.08789378
    5.65217391    0.09211757
    5.78595318    0.09721375
    5.91973244    0.10333965
    6.05351171    0.11046178
    6.18729097    0.11832473
    6.32107023    0.12637554
    6.45484950    0.13376221
    6.58862876    0.13963617
    6.72240803    0.14373010
    6.85618729    0.14671382
    6.98996656    0.14991945
    7.12374582    0.15465730
    7.25752508    0.16160878
    7.39130435    0.17050795
    7.52508361    0.18011211
    7.65886288    0.18852963
    7.79264214    0.19396335
    7.92642140    0.19556790
    8.06020067    0.19380050
    8.19397993    0.18999474
    8.32775920    0.18554764
    8.46153846    0.18127830
    8.59531773    0.17727229
    8.72909699    0.17315291
    8.86287625    0.16840483
    8.99665552    0.16251738
    9.13043478    0.15512467
    9.26421405    0.14627317
    9.39799331    0.13655885
    9.53177258    0.12689392
    9.66555184    0.11807981
    9.79933110    0.11054592
    9.93311037    0.10438370
   10.06688963    0.09952800
   10.20066890    0.09589364
   10.33444816    0.09341077
   10.46822742    0.09200874
   10.60200669    0.09158527
   10.73578595    0.09198074
   10.86956522    0.09302015
   11.00334448    0.09463468
   11.13712375    0.09691296
   11.27090301    0.09994004
   11.40468227    0.10351885
   11.53846154    0.10702249
   11.67224080    0.10955964
   11.80602007    0.11041648
   11.93979933    0.10946188
   12.07357860    0.10718269
   12.20735786    0.10436255
   12.34113712    0.10167999
   12.47491639    0.09946889
   12.60869565    0.09772467
   12.74247492    0.09624774
   12.87625418    0.09476169
   13.01003344    0.09300430
   13.14381271    0.09086016
   13.27759197    0.08846113
   13.41137124    0.08615372
   13.54515050    0.08437855
   13.67892977    0.08356165
   13.81270903    0.08404851
   13.94648829    0.08605244
   14.08026756    0.08958239
   14.21404682    0.09433146
   14.34782609    0.09955587
   14.48160535    0.10407395
   14.61538462    0.10655792
   14.74916388    0.10609372
   14.88294314    0.10262628
   15.01672241    0.09688736
   15.15050167    0.08988561
   15.28428094    0.08241773
   15.41806020    0.07491864
   15.55183946    0.06760378
   15.68561873    0.06065570
   15.81939799    0.05427676
   15.95317726    0.04863127
   16.08695652    0.04379217
   16.22073579    0.03974290
   16.35451505    0.03641194
   16.48829431    0.03370769
   16.62207358    0.03154102
   16.75585284    0.02983649
   16.88963211    0.02853645
   17.02341137    0.02760082
   17.15719064    0.02700469
   17.29096990    0.02673527
   17.42474916    0.02678879
   17.55852843    0.02716580
   17.69230769    0.02786232
   17.82608696    0.02885456
   17.95986622    0.03007786
   18.09364548    0.03141182
   18.22742475    0.03269879
   18.36120401    0.03381681
   18.49498328    0.03477197
   18.62876254    0.03572464
   18.76254181    0.03692218
   18.89632107    0.03860885
   19.03010033    0.04097753
   19.16387960    0.04415869
   19.29765886    0.04820936
   19.43143813    0.05307729
   19.56521739    0.05854592
   19.69899666    0.06420946
   19.83277592    0.06955154
   19.96655518    0.07412290
   20.10033445    0.07767123
