# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06119351
   -9.86622074    0.06283787
   -9.73244147    0.06446640
   -9.59866221    0.06606157
   -9.46488294    0.06760805
   -9.33110368    0.06909414
   -9.19732441    0.07051269
   -9.06354515    0.07186195
   -8.92976589    0.07314636
   -8.79598662    0.07437644
   -8.66220736    0.07556676
   -8.52842809    0.07673210
   -8.39464883    0.07788314
   -8.26086957    0.07902399
   -8.12709030    0.08015266
   -7.99331104    0.08126437
   -7.85953177    0.08235575
   -7.72575251    0.08342836
   -7.59197324    0.08449021
   -7.45819398    0.08555539
   -7.32441472    0.08664176
   -7.19063545    0.08776727
   -7.05685619    0.08894488
   -6.92307692    0.09017715
   -6.78929766    0.09145137
   -6.65551839    0.09273731
   -6.52173913    0.09398904
   -6.38795987    0.09515163
   -6.25418060    0.09617168
   -6.12040134    0.09700856
   -5.98662207    0.09764196
   -5.85284281    0.09807225
   -5.71906355    0.09831286
   -5.58528428    0.09837728
   -5.45150502    0.09826606
   -5.31772575    0.09795881
   -5.18394649    0.09741451
   -5.05016722    0.09657950
   -4.91638796    0.09540020
   -4.78260870    0.09383630
   -4.64882943    0.09187114
   -4.51505017    0.08951717
   -4.38127090    0.08681660
   -4.24749164    0.08383749
   -4.11371237    0.08066658
   -3.97993311    0.07740039
   -3.84615385    0.07413589
   -3.71237458    0.07096237
   -3.57859532    0.06795520
   -3.44481605    0.06517194
   -3.31103679    0.06265054
   -3.17725753    0.06040940
   -3.04347826    0.05844854
   -2.90969900    0.05675182
   -2.77591973    0.05528963
   -2.64214047    0.05402221
   -2.50836120    0.05290318
   -2.37458194    0.05188332
   -2.24080268    0.05091427
   -2.10702341    0.04995215
   -1.97324415    0.04896114
   -1.83946488    0.04791654
   -1.70568562    0.04680673
   -1.57190635    0.04563322
   -1.43812709    0.04440830
   -1.30434783    0.04315068
   -1.17056856    0.04188025
   -1.03678930    0.04061362
   -0.90301003    0.03936158
   -0.76923077    0.03812935
   -0.63545151    0.03691887
   -0.50167224    0.03573208
   -0.36789298    0.03457370
   -0.23411371    0.03345239
   -0.10033445    0.03238013
    0.03344482    0.03137039
    0.16722408    0.03043606
    0.30100334    0.02958781
    0.43478261    0.02883331
    0.56856187    0.02817714
    0.70234114    0.02762123
    0.83612040    0.02716554
    0.96989967    0.02680872
    1.10367893    0.02654880
    1.23745819    0.02638363
    1.37123746    0.02631127
    1.50501672    0.02633025
    1.63879599    0.02643977
    1.77257525    0.02663982
    1.90635452    0.02693126
    2.04013378    0.02731591
    2.17391304    0.02779659
    2.30769231    0.02837718
    2.44147157    0.02906268
    2.57525084    0.02985926
    2.70903010    0.03077426
    2.84280936    0.03181625
    2.97658863    0.03299497
    3.11036789    0.03432126
    3.24414716    0.03580689
    3.37792642    0.03746420
    3.51170569    0.03930562
    3.64548495    0.04134287
    3.77926421    0.04358599
    3.91304348    0.04604200
    4.04682274    0.04871345
    4.18060201    0.05159691
    4.31438127    0.05468182
    4.44816054    0.05794987
    4.58193980    0.06137564
    4.71571906    0.06492861
    4.84949833    0.06857685
    4.98327759    0.07229215
    5.11705686    0.07605523
    5.25083612    0.07985936
    5.38461538    0.08371060
    5.51839465    0.08762364
    5.65217391    0.09161439
    5.78595318    0.09569132
    5.91973244    0.09984837
    6.05351171    0.10406156
    6.18729097    0.10829056
    6.32107023    0.11248548
    6.45484950    0.11659756
    6.58862876    0.12059029
    6.72240803    0.12444639
    6.85618729    0.12816615
    6.98996656    0.13175589
    7.12374582    0.13521009
    7.25752508    0.13849444
    7.39130435    0.14153743
    7.52508361    0.14423549
    7.65886288    0.14647115
    7.79264214    0.14813799
    7.92642140    0.14916327
    8.06020067    0.14951986
    8.19397993    0.14922392
    8.32775920    0.14832154
    8.46153846    0.14687122
    8.59531773    0.14493000
    8.72909699    0.14254748
