# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06430686
   -9.86622074    0.06704616
   -9.73244147    0.06968485
   -9.59866221    0.07207492
   -9.46488294    0.07421035
   -9.33110368    0.07618337
   -9.19732441    0.07802245
   -9.06354515    0.07957510
   -8.92976589    0.08062143
   -8.79598662    0.08115778
   -8.66220736    0.08152462
   -8.52842809    0.08219832
   -8.39464883    0.08345351
   -8.26086957    0.08519548
   -8.12709030    0.08706516
   -7.99331104    0.08870915
   -7.85953177    0.08997999
   -7.72575251    0.09091796
   -7.59197324    0.09161444
   -7.45819398    0.09214488
   -7.32441472    0.09261979
   -7.19063545    0.09324354
   -7.05685619    0.09428868
   -6.92307692    0.09603340
   -6.78929766    0.09870000
   -6.65551839    0.10233803
   -6.52173913    0.10667021
   -6.38795987    0.11104465
   -6.25418060    0.11459819
   -6.12040134    0.11660458
   -5.98662207    0.11686579
   -5.85284281    0.11589070
   -5.71906355    0.11466478
   -5.58528428    0.11414932
   -5.45150502    0.11484451
   -5.31772575    0.11661257
   -5.18394649    0.11877874
   -5.05016722    0.12044044
   -4.91638796    0.12083232
   -4.78260870    0.11953702
   -4.64882943    0.11644141
   -4.51505017    0.11160197
   -4.38127090    0.10523863
   -4.24749164    0.09777765
   -4.11371237    0.08976454
   -3.97993311    0.08172438
   -3.84615385    0.07409985
   -3.71237458    0.06722926
   -3.57859532    0.06132502
   -3.44481605    0.05648024
   -3.31103679    0.05270378
   -3.17725753    0.04995605
   -3.04347826    0.04816750
   -2.90969900    0.04723444
   -2.77591973    0.04700348
   -2.64214047    0.04727248
   -2.50836120    0.04782665
   -2.37458194    0.04848252
   -2.24080268    0.04908576
   -2.10702341    0.04946447
   -1.97324415    0.04940562
   -1.83946488    0.04870463
   -1.70568562    0.04726611
   -1.57190635    0.04517887
   -1.43812709    0.04270657
   -1.30434783    0.04019377
   -1.17056856    0.03793643
   -1.03678930    0.03608467
   -0.90301003    0.03460956
   -0.76923077    0.03332783
   -0.63545151    0.03198464
   -0.50167224    0.03038532
   -0.36789298    0.02850178
   -0.23411371    0.02646305
   -0.10033445    0.02445105
    0.03344482    0.02260668
    0.16722408    0.02100046
    0.30100334    0.01964729
    0.43478261    0.01853138
    0.56856187    0.01762490
    0.70234114    0.01689833
    0.83612040    0.01632504
    0.96989967    0.01588277
    1.10367893    0.01555372
    1.23745819    0.01532406
    1.37123746    0.01518335
    1.50501672    0.01512398
    1.63879599    0.01514076
    1.77257525    0.01523051
    1.90635452    0.01539192
    2.04013378    0.01562536
    2.17391304    0.01593285
    2.30769231    0.01631810
    2.44147157    0.01678666
    2.57525084    0.01734607
    2.70903010    0.01800626
    2.84280936    0.01877996
    2.97658863    0.01968330
    3.11036789    0.02073663
    3.24414716    0.02196546
    3.37792642    0.02340167
    3.51170569    0.02508481
    3.64548495    0.02706329
    3.77926421    0.02939475
    3.91304348    0.03214460
    4.04682274    0.03538054
    4.18060201    0.03916113
    4.31438127    0.04351829
    4.44816054    0.04843943
    4.58193980    0.05385614
    4.71571906    0.05963153
    4.84949833    0.06552627
    4.98327759    0.07117773
    5.11705686    0.07620419
    5.25083612    0.08045276
    5.38461538    0.08416818
    5.51839465    0.08787401
    5.65217391    0.09209631
    5.78595318    0.09719055
    5.91973244    0.10331419
    6.05351171    0.11043401
    6.18729097    0.11829508
    6.32107023    0.12634514
    6.45484950    0.13373272
    6.58862876    0.13960900
    6.72240803    0.14370548
    6.85618729    0.14669033
    6.98996656    0.14989466
    7.12374582    0.15462886
    7.25752508    0.16157544
    7.39130435    0.17047008
    7.52508361    0.18007189
    7.65886288    0.18849054
    7.79264214    0.19392882
    7.92642140    0.19554008
    8.06020067    0.19378003
    8.19397993    0.18998149
    8.32775920    0.18554127
    8.46153846    0.18127838
    8.59531773    0.17727813
    8.72909699    0.17316335
    8.86287625    0.16841835
    8.99665552    0.16253242
    9.13043478    0.15513989
    9.26421405    0.14628778
    9.39799331    0.13657278
    9.53177258    0.12690760
    9.66555184    0.11809374
    9.79933110    0.11056036
    9.93311037    0.10439864
   10.06688963    0.09954336
   10.20066890    0.09590938
   10.33444816    0.09342699
   10.46822742    0.09202566
   10.60200669    0.09160313
   10.73578595    0.09199959
   10.86956522    0.09303994
   11.00334448    0.09465551
   11.13712375    0.09693512
   11.27090301    0.09996367
   11.40468227    0.10354349
   11.53846154    0.10704698
   11.67224080    0.10958251
   11.80602007    0.11043668
   11.93979933    0.10947916
   12.07357860    0.10719737
   12.20735786    0.10437498
   12.34113712    0.10169025
   12.47491639    0.09947682
   12.60869565    0.09773019
   12.74247492    0.09625099
   12.87625418    0.09476304
   13.01003344    0.09300417
   13.14381271    0.09085900
   13.27759197    0.08845949
   13.41137124    0.08615222
   13.54515050    0.08437781
   13.67892977    0.08356221
   13.81270903    0.08405077
   13.94648829    0.08605657
   14.08026756    0.08958833
   14.21404682    0.09433897
   14.34782609    0.09956459
   14.48160535    0.10408352
   14.61538462    0.10656820
   14.74916388    0.10610476
   14.88294314    0.10263803
   15.01672241    0.09689936
   15.15050167    0.08989686
   15.28428094    0.08242701
   15.41806020    0.07492501
   15.55183946    0.06760706
   15.68561873    0.06065650
   15.81939799    0.05427607
   15.95317726    0.04863003
   16.08695652    0.04379099
   16.22073579    0.03974208
   16.35451505    0.03641158
   16.48829431    0.03370779
   16.62207358    0.03154154
   16.75585284    0.02983740
   16.88963211    0.02853771
   17.02341137    0.02760245
   17.15719064    0.02700670
   17.29096990    0.02673769
   17.42474916    0.02679166
   17.55852843    0.02716915
   17.69230769    0.02786618
   17.82608696    0.02885890
   17.95986622    0.03008258
   18.09364548    0.03141676
   18.22742475    0.03270374
   18.36120401    0.03382172
   18.49498328    0.03477705
   18.62876254    0.03573030
   18.76254181    0.03692893
   18.89632107    0.03861715
   19.03010033    0.04098778
   19.16387960    0.04417117
   19.29765886    0.04822418
   19.43143813    0.05309425
   19.56521739    0.05856431
   19.69899666    0.06422813
   19.83277592    0.06956914
   19.96655518    0.07413835
   20.10033445    0.07768393
   20.23411371    0.08013510
   20.36789298    0.08156272
   20.50167224    0.08219132
   20.63545151    0.08233134
