# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06428716
   -9.86622074    0.06702530
   -9.73244147    0.06966310
   -9.59866221    0.07205256
   -9.46488294    0.07418775
   -9.33110368    0.07616117
   -9.19732441    0.07800169
   -9.06354515    0.07955706
   -8.92976589    0.08060699
   -8.79598662    0.08114676
   -8.66220736    0.08151593
   -8.52842809    0.08219068
   -8.39464883    0.08344620
   -8.26086957    0.08518847
   -8.12709030    0.08705871
   -7.99331104    0.08870333
   -7.85953177    0.08997453
   -7.72575251    0.09091238
   -7.59197324    0.09160841
   -7.45819398    0.09213831
   -7.32441472    0.09261279
   -7.19063545    0.09323624
   -7.05685619    0.09428120
   -6.92307692    0.09602583
   -6.78929766    0.09869238
   -6.65551839    0.10233034
   -6.52173913    0.10666248
   -6.38795987    0.11103694
   -6.25418060    0.11459061
   -6.12040134    0.11659723
   -5.98662207    0.11685867
   -5.85284281    0.11588367
   -5.71906355    0.11465767
   -5.58528428    0.11414221
   -5.45150502    0.11483781
   -5.31772575    0.11660702
   -5.18394649    0.11877513
   -5.05016722    0.12043937
   -4.91638796    0.12083401
   -4.78260870    0.11954148
   -4.64882943    0.11644867
   -4.51505017    0.11161203
   -4.38127090    0.10525108
   -4.24749164    0.09779153
   -4.11371237    0.08977860
   -3.97993311    0.08173766
   -3.84615385    0.07411183
   -3.71237458    0.06723982
   -3.57859532    0.06133428
   -3.44481605    0.05648841
   -3.31103679    0.05271111
   -3.17725753    0.04996280
   -3.04347826    0.04817386
   -2.90969900    0.04724055
   -2.77591973    0.04700940
   -2.64214047    0.04727818
   -2.50836120    0.04783211
   -2.37458194    0.04848770
   -2.24080268    0.04909064
   -2.10702341    0.04946899
   -1.97324415    0.04940967
   -1.83946488    0.04870810
   -1.70568562    0.04726892
   -1.57190635    0.04518104
   -1.43812709    0.04270821
   -1.30434783    0.04019504
   -1.17056856    0.03793749
   -1.03678930    0.03608562
   -0.90301003    0.03461041
   -0.76923077    0.03332855
   -0.63545151    0.03198517
   -0.50167224    0.03038563
   -0.36789298    0.02850188
   -0.23411371    0.02646300
   -0.10033445    0.02445090
    0.03344482    0.02260649
    0.16722408    0.02100023
    0.30100334    0.01964704
    0.43478261    0.01853110
    0.56856187    0.01762460
    0.70234114    0.01689799
    0.83612040    0.01632466
    0.96989967    0.01588235
    1.10367893    0.01555326
    1.23745819    0.01532355
    1.37123746    0.01518278
    1.50501672    0.01512335
    1.63879599    0.01514006
    1.77257525    0.01522974
    1.90635452    0.01539106
    2.04013378    0.01562441
    2.17391304    0.01593180
    2.30769231    0.01631694
    2.44147157    0.01678536
    2.57525084    0.01734462
    2.70903010    0.01800464
    2.84280936    0.01877814
    2.97658863    0.01968125
    3.11036789    0.02073431
    3.24414716    0.02196282
    3.37792642    0.02339864
    3.51170569    0.02508133
    3.64548495    0.02705925
    3.77926421    0.02939006
