# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06356268
   -9.86622074    0.06577991
   -9.73244147    0.06796485
   -9.59866221    0.07004724
   -9.46488294    0.07199248
   -9.33110368    0.07378925
   -9.19732441    0.07541927
   -9.06354515    0.07684512
   -8.92976589    0.07804199
   -8.79598662    0.07905050
   -8.66220736    0.07999108
   -8.52842809    0.08101058
   -8.39464883    0.08219876
   -8.26086957    0.08354068
   -8.12709030    0.08493744
   -7.99331104    0.08627307
   -7.85953177    0.08747414
   -7.72575251    0.08852703
   -7.59197324    0.08946257
   -7.45819398    0.09034035
   -7.32441472    0.09124750
   -7.19063545    0.09229908
   -7.05685619    0.09362400
   -6.92307692    0.09533500
   -6.78929766    0.09748774
   -6.65551839    0.10003476
   -6.52173913    0.10279319
   -6.38795987    0.10545869
   -6.25418060    0.10768480
   -6.12040134    0.10920999
   -5.98662207    0.10997525
   -5.85284281    0.11016101
   -5.71906355    0.11010761
   -5.58528428    0.11015530
   -5.45150502    0.11048863
   -5.31772575    0.11105765
   -5.18394649    0.11160062
   -5.05016722    0.11174608
   -4.91638796    0.11113886
   -4.78260870    0.10953113
   -4.64882943    0.10681292
   -4.51505017    0.10300477
   -4.38127090    0.09824442
   -4.24749164    0.09276859
   -4.11371237    0.08687580
   -3.97993311    0.08087806
   -3.84615385    0.07506082
   -3.71237458    0.06965733
   -3.57859532    0.06483541
   -3.44481605    0.06069641
   -3.31103679    0.05728385
   -3.17725753    0.05459522
   -3.04347826    0.05259106
   -2.90969900    0.05119928
   -2.77591973    0.05031805
   -2.64214047    0.04982258
   -2.50836120    0.04957749
   -2.37458194    0.04944877
   -2.24080268    0.04930768
   -2.10702341    0.04902916
   -1.97324415    0.04849684
   -1.83946488    0.04762319
   -1.70568562    0.04637777
   -1.57190635    0.04480523
   -1.43812709    0.04301729
   -1.30434783    0.04115805
   -1.17056856    0.03935689
   -1.03678930    0.03768935
   -0.90301003    0.03616038
   -0.76923077    0.03471478
   -0.63545151    0.03327096
   -0.50167224    0.03176497
   -0.36789298    0.03018254
   -0.23411371    0.02856164
   -0.10033445    0.02696884
    0.03344482    0.02546996
    0.16722408    0.02411184
    0.30100334    0.02291836
    0.43478261    0.02189495
    0.56856187    0.02103539
    0.70234114    0.02032770
    0.83612040    0.01975803
    0.96989967    0.01931292
    1.10367893    0.01898040
    1.23745819    0.01875047
    1.37123746    0.01861518
    1.50501672    0.01856856
    1.63879599    0.01860647
    1.77257525    0.01872653
    1.90635452    0.01892798
    2.04013378    0.01921163
    2.17391304    0.01957990
    2.30769231    0.02003681
    2.44147157    0.02058815
    2.57525084    0.02124163
    2.70903010    0.02200711
    2.84280936    0.02289691
    2.97658863    0.02392620
    3.11036789    0.02511344
    3.24414716    0.02648081
    3.37792642    0.02805462
    3.51170569    0.02986550
    3.64548495    0.03194813
    3.77926421    0.03434001
    3.91304348    0.03707884
    4.04682274    0.04019773
    4.18060201    0.04371821
    4.31438127    0.04764166
    4.44816054    0.05194082
    4.58193980    0.05655300
    4.71571906    0.06137565
    4.84949833    0.06626816
    4.98327759    0.07107202
    5.11705686    0.07566073
    5.25083612    0.08000410
    5.38461538    0.08420105
    5.51839465    0.08844780
    5.65217391    0.09296152
    5.78595318    0.09790759
    5.91973244    0.10335563
    6.05351171    0.10925837
    6.18729097    0.11544301
    6.32107023    0.12162285
    6.45484950    0.12745832
    6.58862876    0.13268594
    6.72240803    0.13726949
    6.85618729    0.14146518
    6.98996656    0.14572637
    7.12374582    0.15048641
    7.25752508    0.15593328
    7.39130435    0.16187574
    7.52508361    0.16775212
    7.65886288    0.17279364
    7.79264214    0.17629862
    7.92642140    0.17789766
    8.06020067    0.17766315
    8.19397993    0.17600428
    8.32775920    0.17342860
    8.46153846    0.17031861
    8.59531773    0.16683006
    8.72909699    0.16292011
    8.86287625    0.15844072
    8.99665552    0.15323909
    9.13043478    0.14725218
    9.26421405    0.14058382
    9.39799331    0.13352091
    9.53177258    0.12646191
    9.66555184    0.11979634
    9.79933110    0.11381093
    9.93311037    0.10866480
   10.06688963    0.10441834
   10.20066890    0.10107472
   10.33444816    0.09860671
   10.46822742    0.09696567
   10.60200669    0.09608188
   10.73578595    0.09586809
   10.86956522    0.09623501
   11.00334448    0.09711025
   11.13712375    0.09843264
   11.27090301    0.10010483
   11.40468227    0.10193070
   11.53846154    0.10359745
   11.67224080    0.10474559
   11.80602007    0.10510590
   11.93979933    0.10461585
   12.07357860    0.10343066
   12.20735786    0.10182764
   12.34113712    0.10007989
   12.47491639    0.09837202
   12.60869565    0.09677634
   12.74247492    0.09527061
   12.87625418    0.09377958
   13.01003344    0.09223258
   13.14381271    0.09062136
   13.27759197    0.08903068
   13.41137124    0.08762763
   13.54515050    0.08662174
   13.67892977    0.08621660
   13.81270903    0.08656305
   13.94648829    0.08771473
   14.08026756    0.08958495
   14.21404682    0.09191082
   14.34782609    0.09424606
   14.48160535    0.09601618
   14.61538462    0.09665424
   14.74916388    0.09577799
   14.88294314    0.09331233
   15.01672241    0.08947781
   15.15050167    0.08466085
   15.28428094    0.07926191
   15.41806020    0.07360795
   15.55183946    0.06794380
   15.68561873    0.06245964
   15.81939799    0.05730930
   15.95317726    0.05260830
   16.08695652    0.04842605
   16.22073579    0.04478624
   16.35451505    0.04167710
   16.48829431    0.03906536
   16.62207358    0.03690888
   16.75585284    0.03516543
   16.88963211    0.03379775
   17.02341137    0.03277573
   17.15719064    0.03207643
   17.29096990    0.03168281
   17.42474916    0.03158130
   17.55852843    0.03175816
   17.69230769    0.03219435
   17.82608696    0.03285953
   17.95986622    0.03370777
   18.09364548    0.03467976
   18.22742475    0.03571708
   18.36120401    0.03678733
   18.49498328    0.03790779
   18.62876254    0.03915087
   18.76254181    0.04062594
   18.89632107    0.04244940
   19.03010033    0.04471753
   19.16387960    0.04748693
   19.29765886    0.05075846
   19.43143813    0.05446201
   19.56521739    0.05844713
   19.69899666    0.06249261
   19.83277592    0.06634470
   19.96655518    0.06977382
   20.10033445    0.07262134
   20.23411371    0.07481812
   20.36789298    0.07638172
   20.50167224    0.07740031
   20.63545151    0.07799991
   20.76923077    0.07830427
   20.90301003    0.07841211
   21.03678930    0.07839515
   21.17056856    0.07829327
   21.30434783    0.07809621
   21.43812709    0.07773469
   21.57190635    0.07710664
   21.70568562    0.07613232
   21.83946488    0.07480474
   21.97324415    0.07320856
   22.10702341    0.07150417
   22.24080268    0.06988686
   22.37458194    0.06853211
   22.50836120    0.06754504
   22.64214047    0.06693471
   22.77591973    0.06662598
   22.90969900    0.06650306
   23.04347826    0.06645923
   23.17725753    0.06641968
   23.31103679    0.06632624
   23.44481605    0.06611007
   23.57859532    0.06569005
   23.71237458    0.06500180
   23.84615385    0.06402318
   23.97993311    0.06276747
   24.11371237    0.06125648
   24.24749164    0.05950709
   24.38127090    0.05754221
   24.51505017    0.05540476
   24.64882943    0.05315072
   24.78260870    0.05082229
   24.91638796    0.04842711
   25.05016722    0.04594730
   25.18394649    0.04337540
   25.31772575    0.04074704
   25.45150502    0.03814279
   25.58528428    0.03566200
   25.71906355    0.03339327
   25.85284281    0.03139949
   25.98662207    0.02971635
   26.12040134    0.02835555
   26.25418060    0.02730651
   26.38795987    0.02653555
   26.52173913    0.02598420
   26.65551839    0.02557024
   26.78929766    0.02519654
   26.92307692    0.02477064
   27.05685619    0.02423041
   27.19063545    0.02356282
   27.32441472    0.02280406
   27.45819398    0.02202101
   27.59197324    0.02128647
   27.72575251    0.02066120
   27.85953177    0.02018716
   27.99331104    0.01988775
   28.12709030    0.01976839
   28.26086957    0.01981407
   28.39464883    0.01998453
   28.52842809    0.02021108
   28.66220736    0.02040178
   28.79598662    0.02046074
   28.92976589    0.02031916
   29.06354515    0.01996251
   29.19732441    0.01943508
   29.33110368    0.01881818
   29.46488294    0.01819762
   29.59866221    0.01763841
   29.73244147    0.01717439
   29.86622074    0.01681037
   30.00000000    0.01653171
