# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06438505
   -9.86622074    0.06712919
   -9.73244147    0.06977114
   -9.59866221    0.07216296
   -9.46488294    0.07429857
   -9.33110368    0.07626909
   -9.19732441    0.07810088
   -9.06354515    0.07964009
   -8.92976589    0.08066887
   -8.79598662    0.08118882
   -8.66220736    0.08154506
   -8.52842809    0.08221448
   -8.39464883    0.08346870
   -8.26086957    0.08520945
   -8.12709030    0.08707618
   -7.99331104    0.08871665
   -7.85953177    0.08998544
   -7.72575251    0.09092375
   -7.59197324    0.09162238
   -7.45819398    0.09215559
   -7.32441472    0.09263321
   -7.19063545    0.09325953
   -7.05685619    0.09430715
   -6.92307692    0.09605428
   -6.78929766    0.09872321
   -6.65551839    0.10236315
   -6.52173913    0.10669610
   -6.38795987    0.11106939
   -6.25418060    0.11461961
   -6.12040134    0.11662132
   -5.98662207    0.11687826
   -5.85284281    0.11590107
   -5.71906355    0.11467553
   -5.58528428    0.11416145
   -5.45150502    0.11485641
   -5.31772575    0.11662031
   -5.18394649    0.11877755
   -5.05016722    0.12042660
   -4.91638796    0.12080417
   -4.78260870    0.11949443
   -4.64882943    0.11638448
   -4.51505017    0.11153106
   -4.38127090    0.10515617
   -4.24749164    0.09768889
   -4.11371237    0.08967574
   -3.97993311    0.08164054
   -3.84615385    0.07402376
   -3.71237458    0.06716179
   -3.57859532    0.06126582
   -3.44481605    0.05642824
   -3.31103679    0.05265765
   -3.17725753    0.04991444
   -3.04347826    0.04812917
   -2.90969900    0.04719841
   -2.77591973    0.04696907
   -2.64214047    0.04723934
   -2.50836120    0.04779463
   -2.37458194    0.04845151
   -2.24080268    0.04905570
   -2.10702341    0.04943544
   -1.97324415    0.04937788
   -1.83946488    0.04867864
   -1.70568562    0.04724234
   -1.57190635    0.04515765
   -1.43812709    0.04268793
   -1.30434783    0.04017742
   -1.17056856    0.03792194
   -1.03678930    0.03607165
   -0.90301003    0.03459772
   -0.76923077    0.03331705
   -0.63545151    0.03197493
   -0.50167224    0.03037676
   -0.36789298    0.02849442
   -0.23411371    0.02645686
   -0.10033445    0.02444594
    0.03344482    0.02260256
    0.16722408    0.02099722
    0.30100334    0.01964483
    0.43478261    0.01852963
    0.56856187    0.01762380
    0.70234114    0.01689783
    0.83612040    0.01632510
    0.96989967    0.01588337
    1.10367893    0.01555484
    1.23745819    0.01532570
    1.37123746    0.01518552
    1.50501672    0.01512670
    1.63879599    0.01514403
    1.77257525    0.01523437
    1.90635452    0.01539641
    2.04013378    0.01563052
    2.17391304    0.01593875
    2.30769231    0.01632482
    2.44147157    0.01679428
    2.57525084    0.01735472
    2.70903010    0.01801606
    2.84280936    0.01879109
    2.97658863    0.01969597
    3.11036789    0.02075109
    3.24414716    0.02198202
    3.37792642    0.02342072
    3.51170569    0.02510684
    3.64548495    0.02708886
    3.77926421    0.02942456
    3.91304348    0.03217944
    4.04682274    0.03542122
    4.18060201    0.03920839
    4.31438127    0.04357262
    4.44816054    0.04850090
    4.58193980    0.05392424
    4.71571906    0.05970486
    4.84949833    0.06560211
    4.98327759    0.07125218
    5.11705686    0.07627387
    5.25083612    0.08051723
    5.38461538    0.08423053
    5.51839465    0.08793896
    5.65217391    0.09216814
    5.78595318    0.09727225
    5.91973244    0.10340743
    6.05351171    0.11053860
    6.18729097    0.11840787
    6.32107023    0.12645912
    6.45484950    0.13383816
    6.58862876    0.13969827
    6.72240803    0.14377871
    6.85618729    0.14675676
    6.98996656    0.14996791
    7.12374582    0.15472024
    7.25752508    0.16168909
    7.39130435    0.17060075
    7.52508361    0.18020533
    7.65886288    0.18860782
    7.79264214    0.19401434
    7.92642140    0.19558844
    8.06020067    0.19379616
    8.19397993    0.18997498
    8.32775920    0.18552035
    8.46153846    0.18124708
    8.59531773    0.17723702
    8.72909699    0.17311189
    8.86287625    0.16835603
    8.99665552    0.16245894
    9.13043478    0.15505623
    9.26421405    0.14619730
    9.39799331    0.13648061
    9.53177258    0.12681858
    9.66555184    0.11801085
    9.79933110    0.11048468
    9.93311037    0.10433021
   10.06688963    0.09948184
   10.20066890    0.09585435
   10.33444816    0.09337775
   10.46822742    0.09198107
   10.60200669    0.09156172
   10.73578595    0.09196000
   10.86956522    0.09300134
   11.00334448    0.09461772
   11.13712375    0.09689814
   11.27090301    0.09992678
   11.40468227    0.10350468
   11.53846154    0.10700327
   11.67224080    0.10953131
   11.80602007    0.11037747
   11.93979933    0.10941412
   12.07357860    0.10713045
   12.20735786    0.10431031
   12.34113712    0.10163078
   12.47491639    0.09942379
   12.60869565    0.09768337
   12.74247492    0.09620925
   12.87625418    0.09472496
   13.01003344    0.09296878
