# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06362948
   -9.86622074    0.06584867
   -9.73244147    0.06803468
   -9.59866221    0.07011713
   -9.46488294    0.07206130
   -9.33110368    0.07385566
   -9.19732441    0.07548164
   -9.06354515    0.07690186
   -8.92976589    0.07809226
   -8.79598662    0.07909467
   -8.66220736    0.08003060
   -8.52842809    0.08104718
   -8.39464883    0.08223367
   -8.26086957    0.08357430
   -8.12709030    0.08496973
   -7.99331104    0.08630401
   -7.85953177    0.08750406
   -7.72575251    0.08855651
   -7.59197324    0.08949220
   -7.45819398    0.09037062
   -7.32441472    0.09127883
   -7.19063545    0.09233188
   -7.05685619    0.09365868
   -6.92307692    0.09537186
   -6.78929766    0.09752681
   -6.65551839    0.10007560
   -6.52173913    0.10283484
   -6.38795987    0.10549973
   -6.25418060    0.10772380
   -6.12040134    0.10924604
   -5.98662207    0.11000835
   -5.85284281    0.11019203
   -5.71906355    0.11013768
   -5.58528428    0.11018505
   -5.45150502    0.11051765
   -5.31772575    0.11108435
   -5.18394649    0.11162274
   -5.05016722    0.11176132
   -4.91638796    0.11114546
   -4.78260870    0.10952807
   -4.64882943    0.10679995
   -4.51505017    0.10298242
   -4.38127090    0.09821414
   -4.24749164    0.09273269
   -4.11371237    0.08683700
   -3.97993311    0.08083893
   -3.84615385    0.07502340
   -3.71237458    0.06962297
   -3.57859532    0.06480484
   -3.44481605    0.06066987
   -3.31103679    0.05726125
   -3.17725753    0.05457627
   -3.04347826    0.05257536
   -2.90969900    0.05118638
   -2.77591973    0.05030749
   -2.64214047    0.04981387
   -2.50836120    0.04957019
   -2.37458194    0.04944244
   -2.24080268    0.04930190
   -2.10702341    0.04902350
   -1.97324415    0.04849096
   -1.83946488    0.04761686
   -1.70568562    0.04637101
   -1.57190635    0.04479827
   -1.43812709    0.04301050
   -1.30434783    0.04115181
   -1.17056856    0.03935144
   -1.03678930    0.03768472
   -0.90301003    0.03615639
   -0.76923077    0.03471111
   -0.63545151    0.03326729
   -0.50167224    0.03176111
   -0.36789298    0.03017851
   -0.23411371    0.02855760
   -0.10033445    0.02696502
    0.03344482    0.02546655
    0.16722408    0.02410896
    0.30100334    0.02291606
    0.43478261    0.02189323
    0.56856187    0.02103423
    0.70234114    0.02032707
    0.83612040    0.01975789
    0.96989967    0.01931323
    1.10367893    0.01898114
    1.23745819    0.01875162
    1.37123746    0.01861673
    1.50501672    0.01857050
    1.63879599    0.01860881
    1.77257525    0.01872928
    1.90635452    0.01893116
    2.04013378    0.01921526
    2.17391304    0.01958402
    2.30769231    0.02004146
    2.44147157    0.02059339
    2.57525084    0.02124753
    2.70903010    0.02201374
    2.84280936    0.02290438
    2.97658863    0.02393462
    3.11036789    0.02512296
    3.24414716    0.02649159
    3.37792642    0.02806686
    3.51170569    0.02987944
    3.64548495    0.03196401
    3.77926421    0.03435813
    3.91304348    0.03709947
    4.04682274    0.04022112
    4.18060201    0.04374455
    4.31438127    0.04767097
    4.44816054    0.05197292
    4.58193980    0.05658744
    4.71571906    0.06141165
    4.84949833    0.06630467
    4.98327759    0.07110794
    5.11705686    0.07569530
    5.25083612    0.08003736
    5.38461538    0.08423388
    5.51839465    0.08848160
    5.65217391    0.09299773
    5.78595318    0.09794724
    5.91973244    0.10339911
    6.05351171    0.10930516
