# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06350781
   -9.86622074    0.06572246
   -9.73244147    0.06790546
   -9.59866221    0.06998683
   -9.46488294    0.07193237
   -9.33110368    0.07373118
   -9.19732441    0.07536533
   -9.06354515    0.07679726
   -8.92976589    0.07800144
   -8.79598662    0.07901726
   -8.66220736    0.07996406
   -8.52842809    0.08098825
   -8.39464883    0.08217982
   -8.26086957    0.08352430
   -8.12709030    0.08492313
   -7.99331104    0.08626034
   -7.85953177    0.08746231
   -7.72575251    0.08851534
   -7.59197324    0.08945044
   -7.45819398    0.09032755
   -7.32441472    0.09123415
   -7.19063545    0.09228555
   -7.05685619    0.09361073
   -6.92307692    0.09532241
   -6.78929766    0.09747608
   -6.65551839    0.10002405
   -6.52173913    0.10278324
   -6.38795987    0.10544914
   -6.25418060    0.10767534
   -6.12040134    0.10920046
   -5.98662207    0.10996576
   -5.85284281    0.11015200
   -5.71906355    0.11009981
   -5.58528428    0.11014971
   -5.45150502    0.11048643
   -5.31772575    0.11105997
   -5.18394649    0.11160836
   -5.05016722    0.11175973
   -4.91638796    0.11115850
   -4.78260870    0.10955653
   -4.64882943    0.10684372
   -4.51505017    0.10304031
   -4.38127090    0.09828360
   -4.24749164    0.09280982
   -4.11371237    0.08691729
   -3.97993311    0.08091829
   -3.84615385    0.07509886
   -3.71237458    0.06969283
   -3.57859532    0.06486848
   -3.44481605    0.06072747
   -3.31103679    0.05731339
   -3.17725753    0.05462375
   -3.04347826    0.05261898
   -2.90969900    0.05122684
   -2.77591973    0.05034529
   -2.64214047    0.04984937
   -2.50836120    0.04960360
   -2.37458194    0.04947388
   -2.24080268    0.04933144
   -2.10702341    0.04905113
   -1.97324415    0.04851657
   -1.83946488    0.04764031
   -1.70568562    0.04639212
   -1.57190635    0.04481697
   -1.43812709    0.04302686
   -1.30434783    0.04116599
   -1.17056856    0.03936371
   -1.03678930    0.03769536
   -0.90301003    0.03616565
   -0.76923077    0.03471916
   -0.63545151    0.03327425
   -0.50167224    0.03176705
   -0.36789298    0.03018349
   -0.23411371    0.02856167
   -0.10033445    0.02696821
    0.03344482    0.02546891
    0.16722408    0.02411055
    0.30100334    0.02291692
    0.43478261    0.02189339
    0.56856187    0.02103373
    0.70234114    0.02032593
    0.83612040    0.01975613
    0.96989967    0.01931086
    1.10367893    0.01897815
    1.23745819    0.01874801
    1.37123746    0.01861247
    1.50501672    0.01856557
    1.63879599    0.01860318
    1.77257525    0.01872290
    1.90635452    0.01892396
    2.04013378    0.01920719
    2.17391304    0.01957498
    2.30769231    0.02003136
    2.44147157    0.02058211
    2.57525084    0.02123491
    2.70903010    0.02199963
    2.84280936    0.02288856
    2.97658863    0.02391686
    3.11036789    0.02510296
    3.24414716    0.02646902
    3.37792642    0.02804132
    3.51170569    0.02985046
    3.64548495    0.03193108
    3.77926421    0.03432067
    3.91304348    0.03705691
    4.04682274    0.04017294
    4.18060201    0.04369035
    4.31438127    0.04761061
    4.44816054    0.05190663
    4.58193980    0.05651592
    4.71571906    0.06133618
    4.84949833    0.06622701
    4.98327759    0.07103001
    5.11705686    0.07561844
    5.25083612    0.07996158
    5.38461538    0.08415771
    5.51839465    0.08840262
    5.65217391    0.09291343
    5.78595318    0.09785579
    5.91973244    0.10329981
    6.05351171    0.10919895
    6.18729097    0.11538127
    6.32107023    0.12156085
    6.45484950    0.12739837
    6.58862876    0.13262966
    6.72240803    0.13721695
    6.85618729    0.14141472
