# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06119593
   -9.86622074    0.06284039
   -9.73244147    0.06446902
   -9.59866221    0.06606429
   -9.46488294    0.06761086
   -9.33110368    0.06909704
   -9.19732441    0.07051568
   -9.06354515    0.07186502
   -8.92976589    0.07314952
   -8.79598662    0.07437968
   -8.66220736    0.07557008
   -8.52842809    0.07673549
   -8.39464883    0.07788659
   -8.26086957    0.07902748
   -8.12709030    0.08015618
   -7.99331104    0.08126789
   -7.85953177    0.08235926
   -7.72575251    0.08343184
   -7.59197324    0.08449366
   -7.45819398    0.08555879
   -7.32441472    0.08664512
   -7.19063545    0.08777056
   -7.05685619    0.08894810
   -6.92307692    0.09018026
   -6.78929766    0.09145434
   -6.65551839    0.09274010
   -6.52173913    0.09399159
   -6.38795987    0.09515390
   -6.25418060    0.09617362
   -6.12040134    0.09701015
   -5.98662207    0.09764318
   -5.85284281    0.09807311
   -5.71906355    0.09831336
   -5.58528428    0.09837742
   -5.45150502    0.09826581
   -5.31772575    0.09795813
   -5.18394649    0.09741335
   -5.05016722    0.09657781
   -4.91638796    0.09539791
   -4.78260870    0.09383340
   -4.64882943    0.09186762
   -4.51505017    0.08951308
   -4.38127090    0.08681201
   -4.24749164    0.08383248
   -4.11371237    0.08066129
   -3.97993311    0.07739493
   -3.84615385    0.07413038
   -3.71237458    0.07095690
   -3.57859532    0.06794986
   -3.44481605    0.06516677
   -3.31103679    0.06264559
   -3.17725753    0.06040466
   -3.04347826    0.05844402
   -2.90969900    0.05674749
   -2.77591973    0.05528548
   -2.64214047    0.05401819
   -2.50836120    0.05289927
   -2.37458194    0.05187950
   -2.24080268    0.05091050
   -2.10702341    0.04994842
   -1.97324415    0.04895744
   -1.83946488    0.04791286
   -1.70568562    0.04680307
   -1.57190635    0.04562960
   -1.43812709    0.04440473
   -1.30434783    0.04314717
   -1.17056856    0.04187681
   -1.03678930    0.04061025
   -0.90301003    0.03935829
   -0.76923077    0.03812614
   -0.63545151    0.03691574
   -0.50167224    0.03572902
   -0.36789298    0.03457071
   -0.23411371    0.03344949
   -0.10033445    0.03237731
    0.03344482    0.03136765
    0.16722408    0.03043340
    0.30100334    0.02958524
    0.43478261    0.02883081
    0.56856187    0.02817471
    0.70234114    0.02761885
    0.83612040    0.02716320
    0.96989967    0.02680642
    1.10367893    0.02654651
    1.23745819    0.02638135
    1.37123746    0.02630897
    1.50501672    0.02632793
    1.63879599    0.02643741
    1.77257525    0.02663741
    1.90635452    0.02692878
    2.04013378    0.02731334
    2.17391304    0.02779391
    2.30769231    0.02837438
    2.44147157    0.02905974
    2.57525084    0.02985615
    2.70903010    0.03077097
    2.84280936    0.03181274
    2.97658863    0.03299121
    3.11036789    0.03431723
    3.24414716    0.03580255
    3.37792642    0.03745952
    3.51170569    0.03930056
    3.64548495    0.04133741
    3.77926421    0.04358009
    3.91304348    0.04603563
    4.04682274    0.04870659
    4.18060201    0.05158956
    4.31438127    0.05467398
    4.44816054    0.05794158
    4.58193980    0.06136695
    4.71571906    0.06491958
    4.84949833    0.06856757
    4.98327759    0.07228270
    5.11705686    0.07604568
    5.25083612    0.07984976
    5.38461538    0.08370096
    5.51839465    0.08761397
    5.65217391    0.09160466
    5.78595318    0.09568150
    5.91973244    0.09983845
    6.05351171    0.10405154
    6.18729097    0.10828050
    6.32107023    0.11247546
    6.45484950    0.11658766
    6.58862876    0.12058060
    6.72240803    0.12443701
    6.85618729    0.12815712
    6.98996656    0.13174724
    7.12374582    0.13520185
    7.25752508    0.13848665
    7.39130435    0.14153013
    7.52508361    0.14422876
    7.65886288    0.14646506
    7.79264214    0.14813261
    7.92642140    0.14915865
    8.06020067    0.14951599
    8.19397993    0.14922077
    8.32775920    0.14831900
    8.46153846    0.14686917
    8.59531773    0.14492828
    8.72909699    0.14254594
    8.86287625    0.13976674
    8.99665552    0.13663813
    9.13043478    0.13321956
    9.26421405    0.12958861
    9.39799331    0.12584112
    9.53177258    0.12208488
    9.66555184    0.11842912
    9.79933110    0.11497334
    9.93311037    0.11179899
   10.06688963    0.10896540
   10.20066890    0.10650943
   10.33444816    0.10444745
   10.46822742    0.10277813
   10.60200669    0.10148523
   10.73578595    0.10053974
   10.86956522    0.09990139
   11.00334448    0.09951939
   11.13712375    0.09933261
   11.27090301    0.09927024
   11.40468227    0.09925456
   11.53846154    0.09920707
   11.67224080    0.09905779
   11.80602007    0.09875548
   11.93979933    0.09827496
   12.07357860    0.09761849
   12.20735786    0.09681050
   12.34113712    0.09588775
   12.47491639    0.09488889
   12.60869565    0.09384695
   12.74247492    0.09278707
   12.87625418    0.09172912
