# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06128967
   -9.86622074    0.06293476
   -9.73244147    0.06456322
   -9.59866221    0.06615737
   -9.46488294    0.06770175
   -9.33110368    0.06918466
   -9.19732441    0.07059902
   -9.06354515    0.07194328
   -8.92976589    0.07322218
   -8.79598662    0.07444660
   -8.66220736    0.07563144
   -8.52842809    0.07679173
   -8.39464883    0.07793829
   -8.26086957    0.07907526
   -8.12709030    0.08020068
   -7.99331104    0.08130972
   -7.85953177    0.08239901
   -7.72575251    0.08347003
   -7.59197324    0.08453077
   -7.45819398    0.08559518
   -7.32441472    0.08668106
   -7.19063545    0.08780621
   -7.05685619    0.08898350
   -6.92307692    0.09021538
   -6.78929766    0.09148904
   -6.65551839    0.09277416
   -6.52173913    0.09402475
   -6.38795987    0.09518581
   -6.25418060    0.09620394
   -6.12040134    0.09703849
   -5.98662207    0.09766916
   -5.85284281    0.09809630
   -5.71906355    0.09833329
   -5.58528428    0.09839354
   -5.45150502    0.09827750
   -5.31772575    0.09796473
   -5.18394649    0.09741423
   -5.05016722    0.09657247
   -4.91638796    0.09538607
   -4.78260870    0.09381504
   -4.64882943    0.09184302
   -4.51505017    0.08948284
   -4.38127090    0.08677700
   -4.24749164    0.08379378
   -4.11371237    0.08062008
   -3.97993311    0.07735236
   -3.84615385    0.07408748
   -3.71237458    0.07091453
   -3.57859532    0.06790863
   -3.44481605    0.06512709
   -3.31103679    0.06260767
   -3.17725753    0.06036861
   -3.04347826    0.05840984
   -2.90969900    0.05671515
   -2.77591973    0.05525493
   -2.64214047    0.05398938
   -2.50836120    0.05287217
   -2.37458194    0.05185409
   -2.24080268    0.05088680
   -2.10702341    0.04992644
   -1.97324415    0.04893719
   -1.83946488    0.04789436
   -1.70568562    0.04678633
   -1.57190635    0.04561458
   -1.43812709    0.04439138
   -1.30434783    0.04313542
   -1.17056856    0.04186659
   -1.03678930    0.04060145
   -0.90301003    0.03935084
   -0.76923077    0.03811995
   -0.63545151    0.03691073
   -0.50167224    0.03572514
   -0.36789298    0.03456791
   -0.23411371    0.03344769
   -0.10033445    0.03237647
    0.03344482    0.03136773
    0.16722408    0.03043436
    0.30100334    0.02958703
    0.43478261    0.02883343
    0.56856187    0.02817813
    0.70234114    0.02762308
    0.83612040    0.02716824
    0.96989967    0.02681227
    1.10367893    0.02655322
    1.23745819    0.02638892
    1.37123746    0.02631746
    1.50501672    0.02633738
    1.63879599    0.02644788
    1.77257525    0.02664896
    1.90635452    0.02694149
    2.04013378    0.02732730
    2.17391304    0.02780924
    2.30769231    0.02839118
    2.44147157    0.02907816
    2.57525084    0.02987634
    2.70903010    0.03079309
    2.84280936    0.03183699
    2.97658863    0.03301781
    3.11036789    0.03434640
    3.24414716    0.03583455
    3.37792642    0.03749461
    3.51170569    0.03933901
    3.64548495    0.04137947
    3.77926421    0.04362601
    3.91304348    0.04608561
    4.04682274    0.04876075
    4.18060201    0.05164794
    4.31438127    0.05473650
    4.44816054    0.05800802
    4.58193980    0.06143697
    4.71571906    0.06499273
    4.84949833    0.06864338
    4.98327759    0.07236072
    5.11705686    0.07612559
    5.25083612    0.07993142
    5.38461538    0.08378442
    5.51839465    0.08769936
    5.65217391    0.09169213
    5.78595318    0.09577106
    5.91973244    0.09992990
    6.05351171    0.10414439
    6.18729097    0.10837397
    6.32107023    0.11256863
    6.45484950    0.11667961
    6.58862876    0.12067060
    6.72240803    0.12452459
    6.85618729    0.12824208
    6.98996656    0.13182943
    7.12374582    0.13528097
    7.25752508    0.13856198
    7.39130435    0.14160048
    7.52508361    0.14429254
    7.65886288    0.14652052
    7.79264214    0.14817815
    7.92642140    0.14919311
    8.06020067    0.14953876
    8.19397993    0.14923180
    8.32775920    0.14831872
    8.46153846    0.14685829
    8.59531773    0.14490767
    8.72909699    0.14251655
    8.86287625    0.13972957
    8.99665552    0.13659421
    9.13043478    0.13317000
    9.26421405    0.12953454
    9.39799331    0.12578367
    9.53177258    0.12202514
    9.66555184    0.11836804
    9.79933110    0.11491169
    9.93311037    0.11173733
   10.06688963    0.10890408
   10.20066890    0.10644860
   10.33444816    0.10438709
   10.46822742    0.10271808
   10.60200669    0.10142523
   10.73578595    0.10047944
   10.86956522    0.09984042
   11.00334448    0.09945734
   11.13712375    0.09926908
   11.27090301    0.09920488
   11.40468227    0.09918711
   11.53846154    0.09913738
   11.67224080    0.09898592
   11.80602007    0.09868167
   11.93979933    0.09819965
   12.07357860    0.09754230
   12.20735786    0.09673410
   12.34113712    0.09581185
   12.47491639    0.09481413
   12.60869565    0.09377390
   12.74247492    0.09271621
   12.87625418    0.09166082
   13.01003344    0.09062762
   13.14381271    0.08964148
   13.27759197    0.08873395
   13.41137124    0.08794022
   13.54515050    0.08729216
   13.67892977    0.08680906
   13.81270903    0.08648855
   13.94648829    0.08629962
   14.08026756    0.08617968
   14.21404682    0.08603721
   14.34782609    0.08576089
   14.48160535    0.08523465
   14.61538462    0.08435622
   14.74916388    0.08305456
   14.88294314    0.08130135
   15.01672241    0.07911331
   15.15050167    0.07654576
   15.28428094    0.07368057
   15.41806020    0.07061298
   15.55183946    0.06744034
   15.68561873    0.06425417
   15.81939799    0.06113506
   15.95317726    0.05814978
