# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06122251
   -9.86622074    0.06286707
   -9.73244147    0.06449563
   -9.59866221    0.06609061
   -9.46488294    0.06763666
   -9.33110368    0.06912207
   -9.19732441    0.07053972
   -9.06354515    0.07188789
   -8.92976589    0.07317110
   -8.79598662    0.07439994
   -8.66220736    0.07558907
   -8.52842809    0.07675331
   -8.39464883    0.07790340
   -8.26086957    0.07904343
   -8.12709030    0.08017145
   -7.99331104    0.08128264
   -7.85953177    0.08237365
   -7.72575251    0.08344600
   -7.59197324    0.08450770
   -7.45819398    0.08557281
   -7.32441472    0.08665919
   -7.19063545    0.08778474
   -7.05685619    0.08896242
   -6.92307692    0.09019476
   -6.78929766    0.09146903
   -6.65551839    0.09275499
   -6.52173913    0.09400668
   -6.38795987    0.09516916
   -6.25418060    0.09618901
   -6.12040134    0.09702559
   -5.98662207    0.09765859
   -5.85284281    0.09808835
   -5.71906355    0.09832831
   -5.58528428    0.09839194
   -5.45150502    0.09827975
   -5.31772575    0.09797136
   -5.18394649    0.09742575
   -5.05016722    0.09658927
   -4.91638796    0.09540838
   -4.78260870    0.09384285
   -4.64882943    0.09187604
   -4.51505017    0.08952052
   -4.38127090    0.08681854
   -4.24749164    0.08383822
   -4.11371237    0.08066636
   -3.97993311    0.07739945
   -3.84615385    0.07413447
   -3.71237458    0.07096068
   -3.57859532    0.06795341
   -3.44481605    0.06517016
   -3.31103679    0.06264886
   -3.17725753    0.06040786
   -3.04347826    0.05844720
   -2.90969900    0.05675068
   -2.77591973    0.05528872
   -2.64214047    0.05402153
   -2.50836120    0.05290273
   -2.37458194    0.05188311
   -2.24080268    0.05091428
   -2.10702341    0.04995238
   -1.97324415    0.04896158
   -1.83946488    0.04791717
   -1.70568562    0.04680754
   -1.57190635    0.04563420
   -1.43812709    0.04440942
   -1.30434783    0.04315191
   -1.17056856    0.04188159
   -1.03678930    0.04061503
   -0.90301003    0.03936305
   -0.76923077    0.03813086
   -0.63545151    0.03692039
   -0.50167224    0.03573360
   -0.36789298    0.03457522
   -0.23411371    0.03345390
   -0.10033445    0.03238162
    0.03344482    0.03137186
    0.16722408    0.03043751
    0.30100334    0.02958925
    0.43478261    0.02883474
    0.56856187    0.02817857
    0.70234114    0.02762266
    0.83612040    0.02716697
    0.96989967    0.02681016
    1.10367893    0.02655026
    1.23745819    0.02638512
    1.37123746    0.02631279
    1.50501672    0.02633181
    1.63879599    0.02644138
    1.77257525    0.02664149
    1.90635452    0.02693300
    2.04013378    0.02731772
    2.17391304    0.02779849
    2.30769231    0.02837918
    2.44147157    0.02906481
    2.57525084    0.02986152
    2.70903010    0.03077667
    2.84280936    0.03181883
    2.97658863    0.03299774
    3.11036789    0.03432425
    3.24414716    0.03581013
    3.37792642    0.03746771
    3.51170569    0.03930942
    3.64548495    0.04134700
    3.77926421    0.04359047
    3.91304348    0.04604684
    4.04682274    0.04871867
    4.18060201    0.05160251
    4.31438127    0.05468778
    4.44816054    0.05795616
    4.58193980    0.06138222
    4.71571906    0.06493540
    4.84949833    0.06858379
    4.98327759    0.07229918
    5.11705686    0.07606230
    5.25083612    0.07986645
    5.38461538    0.08371771
    5.51839465    0.08763081
    5.65217391    0.09162163
    5.78595318    0.09569864
    5.91973244    0.09985574
    6.05351171    0.10406892
    6.18729097    0.10829779
    6.32107023    0.11249245
    6.45484950    0.11660410
    6.58862876    0.12059627
    6.72240803    0.12445172
    6.85618729    0.12817078
    6.98996656    0.13175979
    7.12374582    0.13521327
    7.25752508    0.13849689
    7.39130435    0.14153912
    7.52508361    0.14423638
    7.65886288    0.14647118
    7.79264214    0.14813711
    7.92642140    0.14916148
    8.06020067    0.14951716
    8.19397993    0.14922036
    8.32775920    0.14831717
    8.46153846    0.14686611
    8.59531773    0.14492418
    8.72909699    0.14254099
    8.86287625    0.13976109
    8.99665552    0.13663190
    9.13043478    0.13321284
    9.26421405    0.12958146
    9.39799331    0.12583358
    9.53177258    0.12207699
    9.66555184    0.11842087
    9.79933110    0.11496471
    9.93311037    0.11178997
   10.06688963    0.10895593
   10.20066890    0.10649945
   10.33444816    0.10443687
   10.46822742    0.10276688
   10.60200669    0.10147318
   10.73578595    0.10052677
   10.86956522    0.09988738
   11.00334448    0.09950421
   11.13712375    0.09931615
   11.27090301    0.09925241
   11.40468227    0.09923532
   11.53846154    0.09918639
   11.67224080    0.09903572
   11.80602007    0.09873212
   11.93979933    0.09825044
   12.07357860    0.09759301
   12.20735786    0.09678426
   12.34113712    0.09586099
   12.47491639    0.09486185
   12.60869565    0.09381989
   12.74247492    0.09276024
   12.87625418    0.09170276
   13.01003344    0.09066738
   13.14381271    0.08967907
   13.27759197    0.08876940
   13.41137124    0.08797364
   13.54515050    0.08732373
   13.67892977    0.08683908
   13.81270903    0.08651742
   13.94648829    0.08632785
   14.08026756    0.08620790
   14.21404682    0.08606612
   14.34782609    0.08579118
   14.48160535    0.08526692
   14.61538462    0.08439086
   14.74916388    0.08309165
   14.88294314    0.08134063
   15.01672241    0.07915422
   15.15050167    0.07658753
   15.28428094    0.07372238
   15.41806020    0.07065403
   15.55183946    0.06747999
   15.68561873    0.06429193
   15.81939799    0.06117062
   15.95317726    0.05818301
   16.08695652    0.05538107
   16.22073579    0.05280206
   16.35451505    0.05047001
   16.48829431    0.04839788
   16.62207358    0.04659013
   16.75585284    0.04504517
   16.88963211    0.04375741
   17.02341137    0.04271877
   17.15719064    0.04191969
   17.29096990    0.04134960
   17.42474916    0.04099703
   17.55852843    0.04084958
   17.69230769    0.04089383
   17.82608696    0.04111561
   17.95986622    0.04150091
   18.09364548    0.04203731
   18.22742475    0.04271607
   18.36120401    0.04353390
   18.49498328    0.04449389
   18.62876254    0.04560465
   18.76254181    0.04687751
   18.89632107    0.04832224
   19.03010033    0.04994206
   19.16387960    0.05172905
   19.29765886    0.05366081
   19.43143813    0.05569920
   19.56521739    0.05779175
   19.69899666    0.05987596
   19.83277592    0.06188581
   19.96655518    0.06375948
   20.10033445    0.06544628
   20.23411371    0.06691144
   20.36789298    0.06813791
   20.50167224    0.06912503
   20.63545151    0.06988472
   20.76923077    0.07043635
   20.90301003    0.07080133
   21.03678930    0.07099863
   21.17056856    0.07104189
   21.30434783    0.07093888
   21.43812709    0.07069345
   21.57190635    0.07030960
   21.70568562    0.06979632
   21.83946488    0.06917135
   21.97324415    0.06846206
   22.10702341    0.06770331
   22.24080268    0.06693250
   22.37458194    0.06618357
   22.50836120    0.06548121
   22.64214047    0.06483714
   22.77591973    0.06424902
   22.90969900    0.06370205
   23.04347826    0.06317235
   23.17725753    0.06263096
   23.31103679    0.06204756
   23.44481605    0.06139368
   23.57859532    0.06064533
   23.71237458    0.05978492
   23.84615385    0.05880212
   23.97993311    0.05769365
   24.11371237    0.05646216
   24.24749164    0.05511482
   24.38127090    0.05366196
   24.51505017    0.05211587
   24.64882943    0.05048984
   24.78260870    0.04879764
   24.91638796    0.04705397
   25.05016722    0.04527562
   25.18394649    0.04348280
   25.31772575    0.04169969
   25.45150502    0.03995343
   25.58528428    0.03827182
   25.71906355    0.03668034
   25.85284281    0.03519950
   25.98662207    0.03384294
   26.12040134    0.03261643
   26.25418060    0.03151773
   26.38795987    0.03053719
   26.52173913    0.02965908
   26.65551839    0.02886377
   26.78929766    0.02813062
   26.92307692    0.02744108
   27.05685619    0.02678166
   27.19063545    0.02614558
   27.32441472    0.02553305
   27.45819398    0.02494984
   27.59197324    0.02440485
   27.72575251    0.02390738
   27.85953177    0.02346467
   27.99331104    0.02308011
   28.12709030    0.02275209
   28.26086957    0.02247360
   28.39464883    0.02223257
   28.52842809    0.02201312
   28.66220736    0.02179768
   28.79598662    0.02156983
   28.92976589    0.02131720
   29.06354515    0.02103370
   29.19732441    0.02072031
   29.33110368    0.02038420
   29.46488294    0.02003658
   29.59866221    0.01968998
   29.73244147    0.01935598
   29.86622074    0.01904365
   30.00000000    0.01875910
