{\rtf1\ansi\ansicpg1252\cocoartf2639
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\csgray\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx560\tx1120\tx1680\tx2240\tx2800\tx3360\tx3920\tx4480\tx5040\tx5600\tx6160\tx6720\pardirnatural\partightenfactor0

\f0\fs22 \cf2 \CocoaLigature0 # Final state angular momentum:   1\
# Broadening parameter (in eV):    0.800\
# Absorbing atom type (xiabs):   2\
# Energy (eV)   sigma\
  -10.00000000    0.00163538\
   -9.86622074    0.00161997\
   -9.73244147    0.00160569\
   -9.59866221    0.00159252\
   -9.46488294    0.00158043\
   -9.33110368    0.00156943\
   -9.19732441    0.00155951\
   -9.06354515    0.00155066\
   -8.92976589    0.00154290\
   -8.79598662    0.00153621\
   -8.66220736    0.00153062\
   -8.52842809    0.00152614\
   -8.39464883    0.00152278\
   -8.26086957    0.00152057\
   -8.12709030    0.00151953\
   -7.99331104    0.00151970\
   -7.85953177    0.00152111\
   -7.72575251    0.00152382\
   -7.59197324    0.00152786\
   -7.45819398    0.00153331\
   -7.32441472    0.00154023\
   -7.19063545    0.00154871\
   -7.05685619    0.00155883\
   -6.92307692    0.00157072\
   -6.78929766    0.00158449\
   -6.65551839    0.00160030\
   -6.52173913    0.00161834\
   -6.38795987    0.00163881\
   -6.25418060    0.00166197\
   -6.12040134    0.00168812\
   -5.98662207    0.00171763\
   -5.85284281    0.00175091\
   -5.71906355    0.00178845\
   -5.58528428    0.00183076\
   -5.45150502    0.00187830\
   -5.31772575    0.00193142\
   -5.18394649    0.00199016\
   -5.05016722    0.00205416\
   -4.91638796    0.00212269\
   -4.78260870    0.00219459\
   -4.64882943    0.00226796\
   -4.51505017    0.00234009\
   -4.38127090    0.00240842\
   -4.24749164    0.00247248\
   -4.11371237    0.00253496\
   -3.97993311    0.00260065\
   -3.84615385    0.00267441\
   -3.71237458    0.00275996\
   -3.57859532    0.00285980\
   -3.44481605    0.00297569\
   -3.31103679    0.00310920\
   -3.17725753    0.00326199\
   -3.04347826    0.00343608\
   -2.90969900    0.00363396\
   -2.77591973    0.00385877\
   -2.64214047    0.00411448\
   -2.50836120    0.00440610\
