{\rtf1\ansi\ansicpg1252\cocoartf2639
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\csgray\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx560\tx1120\tx1680\tx2240\tx2800\tx3360\tx3920\tx4480\tx5040\tx5600\tx6160\tx6720\pardirnatural\partightenfactor0

\f0\fs22 \cf2 \CocoaLigature0 # Final state angular momentum:   1\
# Broadening parameter (in eV):    0.400\
# Absorbing atom type (xiabs):   2\
# Energy (eV)   sigma\
  -10.00000000    0.00082038\
   -9.86622074    0.00081260\
   -9.73244147    0.00080541\
   -9.59866221    0.00079878\
   -9.46488294    0.00079270\
   -9.33110368    0.00078719\
   -9.19732441    0.00078222\
   -9.06354515    0.00077780\
   -8.92976589    0.00077392\
   -8.79598662    0.00077060\
   -8.66220736    0.00076783\
   -8.52842809    0.00076563\
   -8.39464883    0.00076400\
   -8.26086957    0.00076296\
   -8.12709030    0.00076252\
   -7.99331104    0.00076269\
   -7.85953177    0.00076350\
   -7.72575251    0.00076498\
   -7.59197324    0.00076715\
   -7.45819398    0.00077005\
   -7.32441472    0.00077371\
   -7.19063545    0.00077819\
   -7.05685619    0.00078354\
   -6.92307692    0.00078983\
   -6.78929766    0.00079713\
   -6.65551839    0.00080556\
   -6.52173913    0.00081524\
   -6.38795987    0.00082632\
   -6.25418060    0.00083901\
   -6.12040134    0.00085359\
   -5.98662207    0.00087043\
   -5.85284281    0.00089007\
   -5.71906355    0.00091329\
   -5.58528428    0.00094128\
   -5.45150502    0.00097576\
   -5.31772575    0.00101915\
   -5.18394649    0.00107368\
   -5.05016722    0.00113837\
   -4.91638796    0.00120720\
   -4.78260870    0.00128104\
   -4.64882943    0.00137227\
   -4.51505017    0.00147414\
   -4.38127090    0.00153779\
   -4.24749164    0.00152656\
   -4.11371237    0.00147934\
   -3.97993311    0.00144531\
   -3.84615385    0.00143861\
   -3.71237458    0.00145617\
   -3.57859532    0.00149283\
   -3.44481605    0.00154510\
   -3.31103679    0.00161125\
   -3.17725753    0.00169089\
   -3.04347826    0.00178451\
   -2.90969900    0.00189302\
   -2.77591973    0.00201720\
   -2.64214047    0.00215837\
   -2.50836120    0.00232030\
   -2.37458194    0.00250852\
   -2.24080268    0.00272904\
   -2.10702341    0.00298904\
   -1.97324415    0.00329792\
   -1.83946488    0.00366839\
   -1.70568562    0.00411797\
   -1.57190635    0.00467125\
   -1.43812709    0.00536346\
   -1.30434783    0.00624577\
   -1.17056856    0.00739139\
   -1.03678930    0.00889461\
   -0.90301003    0.01083370\
   -0.76923077    0.01317690\
   -0.63545151    0.01586037\
   -0.50167224    0.01926027\
   -0.36789298    0.02424560\
   -0.23411371    0.03186437\
   -0.10033445    0.04329103\
    0.03344482    0.05912682\
    0.16722408    0.07651169\
    0.30100334    0.08659388\
    0.43478261    0.08320606\
    0.56856187    0.07041475\
    0.70234114    0.05443506\
    0.83612040    0.04017164\
    0.96989967    0.02961338\
    1.10367893    0.02235413\
    1.23745819    0.01743216\
    1.37123746    0.01408260\
    1.50501672    0.01181476\
    1.63879599    0.01033469\
    1.77257525    0.00943910\
    1.90635452    0.00885556\
    2.04013378    0.00815937\
    2.17391304    0.00715862\
    2.30769231    0.00611060\
    2.44147157    0.00524298\
    2.57525084    0.00458523\
    2.70903010    0.00409360\
    2.84280936    0.00372297\
    2.97658863    0.00344102\
    3.11036789    0.00322641\
    3.24414716    0.00306534\
    3.37792642    0.00294904\
    3.51170569    0.00287224\
    3.64548495    0.00283233\
    3.77926421    0.00282895\
    3.91304348    0.00286402\
    4.04682274    0.00294198\
    4.18060201    0.00307057\
    4.31438127    0.00326208\
    4.44816054    0.00353563\
    4.58193980    0.00392095\
    4.71571906    0.00446478\
    4.84949833    0.00524113\
    4.98327759    0.00636567\
