# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00467886
   -9.95995996    0.00474714
   -9.91991992    0.00481717
   -9.87987988    0.00488900
   -9.83983984    0.00496269
   -9.79979980    0.00503831
   -9.75975976    0.00511592
   -9.71971972    0.00519558
   -9.67967968    0.00527737
   -9.63963964    0.00536137
   -9.59959960    0.00544764
   -9.55955956    0.00553627
   -9.51951952    0.00562735
   -9.47947948    0.00572095
   -9.43943944    0.00581717
   -9.39939940    0.00591610
   -9.35935936    0.00601784
   -9.31931932    0.00612250
   -9.27927928    0.00623018
   -9.23923924    0.00634100
   -9.19919920    0.00645508
   -9.15915916    0.00657254
   -9.11911912    0.00669351
   -9.07907908    0.00681813
   -9.03903904    0.00694656
   -8.99899900    0.00707894
   -8.95895896    0.00721544
   -8.91891892    0.00735623
   -8.87887888    0.00750149
   -8.83883884    0.00765142
   -8.79879880    0.00780620
   -8.75875876    0.00796607
   -8.71871872    0.00813122
   -8.67867868    0.00830191
   -8.63863864    0.00847837
   -8.59859860    0.00866087
   -8.55855856    0.00884966
   -8.51851852    0.00904504
   -8.47847848    0.00924730
   -8.43843844    0.00945675
   -8.39839840    0.00967372
   -8.35835836    0.00989856
   -8.31831832    0.01013161
   -8.27827828    0.01037326
   -8.23823824    0.01062390
   -8.19819820    0.01088393
   -8.15815816    0.01115380
   -8.11811812    0.01143395
   -8.07807808    0.01172485
   -8.03803804    0.01202699
   -7.99799800    0.01234089
   -7.95795796    0.01266706
   -7.91791792    0.01300607
   -7.87787788    0.01335850
   -7.83783784    0.01372493
   -7.79779780    0.01410598
   -7.75775776    0.01450230
   -7.71771772    0.01491455
   -7.67767768    0.01534343
   -7.63763764    0.01578964
   -7.59759760    0.01625393
   -7.55755756    0.01673708
   -7.51751752    0.01723990
   -7.47747748    0.01776325
   -7.43743744    0.01830802
   -7.39739740    0.01887517
   -7.35735736    0.01946570
   -7.31731732    0.02008070
   -7.27727728    0.02072133
   -7.23723724    0.02138881
   -7.19719720    0.02208447
   -7.15715716    0.02280972
   -7.11711712    0.02356604
   -7.07707708    0.02435502
   -7.03703704    0.02517830
   -6.99699700    0.02603761
   -6.95695696    0.02693469
   -6.91691692    0.02787134
   -6.87687688    0.02884933
   -6.83683684    0.02987041
   -6.79679680    0.03093625
   -6.75675676    0.03204842
   -6.71671672    0.03320832
   -6.67667668    0.03441716
   -6.63663664    0.03567591
   -6.59659660    0.03698521
   -6.55655656    0.03834535
   -6.51651652    0.03975621
   -6.47647648    0.04121718
   -6.43643644    0.04272714
   -6.39639640    0.04428436
   -6.35635636    0.04588654
   -6.31631632    0.04753070
   -6.27627628    0.04921320
   -6.23623624    0.05092974
   -6.19619620    0.05267533
   -6.15615616    0.05444437
   -6.11611612    0.05623064
   -6.07607608    0.05802733
   -6.03603604    0.05982713
   -5.99599600    0.06162222
   -5.95595596    0.06340430
   -5.91591592    0.06516461
   -5.87587588    0.06689393
   -5.83583584    0.06858253
   -5.79579580    0.07022019
   -5.75575576    0.07179615
   -5.71571572    0.07329913
   -5.67567568    0.07471736
   -5.63563564    0.07603871
   -5.59559560    0.07725084
   -5.55555556    0.07834140
   -5.51551552    0.07929839
   -5.47547548    0.08011047
   -5.43543544    0.08076734
   -5.39539540    0.08126017
   -5.35535536    0.08158191
   -5.31531532    0.08172763
   -5.27527528    0.08169471
   -5.23523524    0.08148303
   -5.19519520    0.08109492
   -5.15515516    0.08053509
   -5.11511512    0.07981051
   -5.07507508    0.07893007
   -5.03503504    0.07790434
   -4.99499499    0.07674523
   -4.95495495    0.07546560
   -4.91491491    0.07407894
   -4.87487487    0.07259906
   -4.83483483    0.07103979
   -4.79479479    0.06941467
   -4.75475475    0.06773678
   -4.71471471    0.06601854
   -4.67467467    0.06427153
   -4.63463463    0.06250641
   -4.59459459    0.06073285
   -4.55455455    0.05895950
   -4.51451451    0.05719396
   -4.47447447    0.05544287
   -4.43443443    0.05371190
   -4.39439439    0.05200588
   -4.35435435    0.05032887
   -4.31431431    0.04868425
   -4.27427427    0.04707481
   -4.23423423    0.04550285
   -4.19419419    0.04397024
   -4.15415415    0.04247849
   -4.11411411    0.04102878
   -4.07407407    0.03962205
   -4.03403403    0.03825895
   -3.99399399    0.03693995
   -3.95395395    0.03566526
   -3.91391391    0.03443491
   -3.87387387    0.03324875
   -3.83383383    0.03210643
   -3.79379379    0.03100743
   -3.75375375    0.02995110
   -3.71371371    0.02893661
   -3.67367367    0.02796305
   -3.63363363    0.02702937
   -3.59359359    0.02613447
   -3.55355355    0.02527714
   -3.51351351    0.02445615
   -3.47347347    0.02367022
   -3.43343343    0.02291803
   -3.39339339    0.02219828
   -3.35335335    0.02150966
   -3.31331331    0.02085087
   -3.27327327    0.02022063
   -3.23323323    0.01961767
   -3.19319319    0.01904079
   -3.15315315    0.01848879
   -3.11311311    0.01796052
   -3.07307307    0.01745488
   -3.03303303    0.01697081
   -2.99299299    0.01650727
   -2.95295295    0.01606331
   -2.91291291    0.01563798
   -2.87287287    0.01523040
   -2.83283283    0.01483972
   -2.79279279    0.01446514
   -2.75275275    0.01410589
   -2.71271271    0.01376125
   -2.67267267    0.01343052
   -2.63263263    0.01311307
   -2.59259259    0.01280826
   -2.55255255    0.01251552
   -2.51251251    0.01223430
   -2.47247247    0.01196406
   -2.43243243    0.01170432
   -2.39239239    0.01145461
   -2.35235235    0.01121447
   -2.31231231    0.01098349
   -2.27227227    0.01076128
   -2.23223223    0.01054745
   -2.19219219    0.01034164
   -2.15215215    0.01014353
   -2.11211211    0.00995278
   -2.07207207    0.00976909
   -2.03203203    0.00959219
   -1.99199199    0.00942178
   -1.95195195    0.00925761
   -1.91191191    0.00909944
   -1.87187187    0.00894703
   -1.83183183    0.00880017
   -1.79179179    0.00865863
   -1.75175175    0.00852222
   -1.71171171    0.00839076
   -1.67167167    0.00826405
   -1.63163163    0.00814193
   -1.59159159    0.00802424
   -1.55155155    0.00791082
   -1.51151151    0.00780153
   -1.47147147    0.00769622
   -1.43143143    0.00759476
   -1.39139139    0.00749703
   -1.35135135    0.00740290
   -1.31131131    0.00731226
   -1.27127127    0.00722500
   -1.23123123    0.00714102
   -1.19119119    0.00706021
   -1.15115115    0.00698249
   -1.11111111    0.00690776
   -1.07107107    0.00683594
   -1.03103103    0.00676695
   -0.99099099    0.00670072
   -0.95095095    0.00663716
   -0.91091091    0.00657622
   -0.87087087    0.00651783
   -0.83083083    0.00646193
   -0.79079079    0.00640846
   -0.75075075    0.00635738
   -0.71071071    0.00630864
   -0.67067067    0.00626220
   -0.63063063    0.00621801
   -0.59059059    0.00617603
   -0.55055055    0.00613624
   -0.51051051    0.00609861
   -0.47047047    0.00606309
   -0.43043043    0.00602968
   -0.39039039    0.00599833
   -0.35035035    0.00596905
   -0.31031031    0.00594179
   -0.27027027    0.00591656
   -0.23023023    0.00589333
   -0.19019019    0.00587209
   -0.15015015    0.00585284
   -0.11011011    0.00583557
   -0.07007007    0.00582027
   -0.03003003    0.00580695
    0.01001001    0.00579560
    0.05005005    0.00578624
    0.09009009    0.00577886
    0.13013013    0.00577349
    0.17017017    0.00577014
    0.21021021    0.00576882
    0.25025025    0.00576955
    0.29029029    0.00577237
    0.33033033    0.00577730
    0.37037037    0.00578436
    0.41041041    0.00579360
    0.45045045    0.00580504
    0.49049049    0.00581874
    0.53053053    0.00583472
    0.57057057    0.00585305
    0.61061061    0.00587376
    0.65065065    0.00589692
    0.69069069    0.00592257
    0.73073073    0.00595077
    0.77077077    0.00598160
    0.81081081    0.00601511
    0.85085085    0.00605137
    0.89089089    0.00609046
    0.93093093    0.00613245
    0.97097097    0.00617742
    1.01101101    0.00622546
    1.05105105    0.00627664
    1.09109109    0.00633105
    1.13113113    0.00638878
    1.17117117    0.00644992
    1.21121121    0.00651456
    1.25125125    0.00658280
    1.29129129    0.00665471
    1.33133133    0.00673040
    1.37137137    0.00680996
    1.41141141    0.00689346
    1.45145145    0.00698101
    1.49149149    0.00707268
    1.53153153    0.00716857
    1.57157157    0.00726876
    1.61161161    0.00737334
    1.65165165    0.00748240
    1.69169169    0.00759604
    1.73173173    0.00771435
    1.77177177    0.00783746
    1.81181181    0.00796546
    1.85185185    0.00809851
    1.89189189    0.00823674
    1.93193193    0.00838033
    1.97197197    0.00852944
    2.01201201    0.00868428
    2.05205205    0.00884506
    2.09209209    0.00901200
    2.13213213    0.00918536
    2.17217217    0.00936539
    2.21221221    0.00955237
    2.25225225    0.00974659
    2.29229229    0.00994836
    2.33233233    0.01015802
    2.37237237    0.01037594
    2.41241241    0.01060248
    2.45245245    0.01083809
    2.49249249    0.01108321
    2.53253253    0.01133834
    2.57257257    0.01160402
    2.61261261    0.01188082
    2.65265265    0.01216936
    2.69269269    0.01247027
    2.73273273    0.01278421
    2.77277277    0.01311186
    2.81281281    0.01345386
    2.85285285    0.01381086
    2.89289289    0.01418345
    2.93293293    0.01457216
    2.97297297    0.01497743
    3.01301301    0.01539963
    3.05305305    0.01583896
    3.09309309    0.01629552
    3.13313313    0.01676921
    3.17317317    0.01725976
    3.21321321    0.01776672
    3.25325325    0.01828941
    3.29329329    0.01882692
    3.33333333    0.01937814
    3.37337337    0.01994168
    3.41341341    0.02051596
    3.45345345    0.02109913
    3.49349349    0.02168912
    3.53353353    0.02228363
    3.57357357    0.02288010
    3.61361361    0.02347577
    3.65365365    0.02406761
    3.69369369    0.02465238
    3.73373373    0.02522657
    3.77377377    0.02578644
    3.81381381    0.02632800
    3.85385385    0.02684706
    3.89389389    0.02733927
    3.93393393    0.02780018
    3.97397397    0.02822531
    4.01401401    0.02861029
    4.05405405    0.02895100
    4.09409409    0.02924368
    4.13413413    0.02948511
    4.17417417    0.02967275
    4.21421421    0.02980482
    4.25425425    0.02988041
    4.29429429    0.02989954
    4.33433433    0.02986309
    4.37437437    0.02977280
    4.41441441    0.02963114
    4.45445445    0.02944122
    4.49449449    0.02920659
    4.53453453    0.02893111
    4.57457457    0.02861881
    4.61461461    0.02827372
    4.65465465    0.02789981
    4.69469469    0.02750087
    4.73473473    0.02708049
    4.77477477    0.02664204
    4.81481481    0.02618865
    4.85485485    0.02572326
    4.89489489    0.02524863
    4.93493493    0.02476738
    4.97497497    0.02428201
    5.01501502    0.02379490
    5.05505506    0.02330835
    5.09509510    0.02282457
    5.13513514    0.02234563
    5.17517518    0.02187347
    5.21521522    0.02140987
    5.25525526    0.02095645
    5.29529530    0.02051461
    5.33533534    0.02008551
    5.37537538    0.01967013
    5.41541542    0.01926919
    5.45545546    0.01888322
    5.49549550    0.01851253
    5.53553554    0.01815727
    5.57557558    0.01781744
    5.61561562    0.01749292
    5.65565566    0.01718353
    5.69569570    0.01688901
    5.73573574    0.01660911
    5.77577578    0.01634358
    5.81581582    0.01609222
    5.85585586    0.01585485
    5.89589590    0.01563139
    5.93593594    0.01542180
    5.97597598    0.01522610
    6.01601602    0.01504438
    6.05605606    0.01487676
    6.09609610    0.01472340
    6.13613614    0.01458449
    6.17617618    0.01446019
    6.21621622    0.01435068
    6.25625626    0.01425610
    6.29629630    0.01417655
    6.33633634    0.01411209
    6.37637638    0.01406273
    6.41641642    0.01402841
    6.45645646    0.01400899
    6.49649650    0.01400427
    6.53653654    0.01401396
    6.57657658    0.01403771
    6.61661662    0.01407504
    6.65665666    0.01412544
    6.69669670    0.01418827
    6.73673674    0.01426285
    6.77677678    0.01434841
    6.81681682    0.01444413
    6.85685686    0.01454918
    6.89689690    0.01466266
    6.93693694    0.01478373
    6.97697698    0.01491155
    7.01701702    0.01504536
    7.05705706    0.01518447
    7.09709710    0.01532831
    7.13713714    0.01547643
    7.17717718    0.01562849
    7.21721722    0.01578431
    7.25725726    0.01594380
    7.29729730    0.01610697
    7.33733734    0.01627388
    7.37737738    0.01644461
    7.41741742    0.01661920
    7.45745746    0.01679761
    7.49749750    0.01697965
    7.53753754    0.01716498
    7.57757758    0.01735302
    7.61761762    0.01754295
    7.65765766    0.01773370
    7.69769770    0.01792394
    7.73773774    0.01811210
    7.77777778    0.01829640
    7.81781782    0.01847495
    7.85785786    0.01864572
    7.89789790    0.01880671
    7.93793794    0.01895599
    7.97797798    0.01909179
    8.01801802    0.01921260
    8.05805806    0.01931722
    8.09809810    0.01940481
    8.13813814    0.01947494
    8.17817818    0.01952758
    8.21821822    0.01956309
    8.25825826    0.01958217
    8.29829830    0.01958580
    8.33833834    0.01957515
    8.37837838    0.01955151
    8.41841842    0.01951621
    8.45845846    0.01947052
    8.49849850    0.01941561
    8.53853854    0.01935251
    8.57857858    0.01928204
    8.61861862    0.01920488
    8.65865866    0.01912150
    8.69869870    0.01903228
    8.73873874    0.01893749
    8.77877878    0.01883737
    8.81881882    0.01873220
    8.85885886    0.01862230
    8.89889890    0.01850812
    8.93893894    0.01839024
    8.97897898    0.01826941
    9.01901902    0.01814648
    9.05905906    0.01802246
    9.09909910    0.01789842
    9.13913914    0.01777546
    9.17917918    0.01765469
    9.21921922    0.01753714
    9.25925926    0.01742373
    9.29929930    0.01731521
    9.33933934    0.01721214
    9.37937938    0.01711487
    9.41941942    0.01702350
    9.45945946    0.01693791
    9.49949950    0.01685776
    9.53953954    0.01678254
    9.57957958    0.01671156
    9.61961962    0.01664404
    9.65965966    0.01657916
    9.69969970    0.01651609
    9.73973974    0.01645407
    9.77977978    0.01639248
    9.81981982    0.01633085
    9.85985986    0.01626893
    9.89989990    0.01620669
    9.93993994    0.01614436
    9.97997998    0.01608239
   10.02002002    0.01602145
   10.06006006    0.01596239
   10.10010010    0.01590618
   10.14014014    0.01585392
   10.18018018    0.01580672
   10.22022022    0.01576567
   10.26026026    0.01573182
   10.30030030    0.01570608
