# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00742865
   -9.95995996    0.00756983
   -9.91991992    0.00771583
   -9.87987988    0.00786680
   -9.83983984    0.00802293
   -9.79979980    0.00818442
   -9.75975976    0.00835152
   -9.71971972    0.00852449
   -9.67967968    0.00870362
   -9.63963964    0.00888923
   -9.59959960    0.00908167
   -9.55955956    0.00928129
   -9.51951952    0.00948850
   -9.47947948    0.00970369
   -9.43943944    0.00992729
   -9.39939940    0.01015970
   -9.35935936    0.01040138
   -9.31931932    0.01065276
   -9.27927928    0.01091428
   -9.23923924    0.01118637
   -9.19919920    0.01146949
   -9.15915916    0.01176408
   -9.11911912    0.01207060
   -9.07907908    0.01238950
   -9.03903904    0.01272127
   -8.99899900    0.01306639
   -8.95895896    0.01342539
   -8.91891892    0.01379883
   -8.87887888    0.01418728
   -8.83883884    0.01459140
   -8.79879880    0.01501185
   -8.75875876    0.01544938
   -8.71871872    0.01590478
   -8.67867868    0.01637888
   -8.63863864    0.01687257
   -8.59859860    0.01738676
   -8.55855856    0.01792239
   -8.51851852    0.01848041
   -8.47847848    0.01906176
   -8.43843844    0.01966734
   -8.39839840    0.02029799
   -8.35835836    0.02095448
   -8.31831832    0.02163746
   -8.27827828    0.02234746
   -8.23823824    0.02308485
   -8.19819820    0.02384979
   -8.15815816    0.02464224
   -8.11811812    0.02546191
   -8.07807808    0.02630824
   -8.03803804    0.02718035
   -7.99799800    0.02807701
   -7.95795796    0.02899665
   -7.91791792    0.02993725
   -7.87787788    0.03089634
   -7.83783784    0.03187097
   -7.79779780    0.03285766
   -7.75775776    0.03385234
   -7.71771772    0.03485039
   -7.67767768    0.03584656
   -7.63763764    0.03683506
   -7.59759760    0.03780955
   -7.55755756    0.03876327
   -7.51751752    0.03968911
   -7.47747748    0.04057985
   -7.43743744    0.04142827
   -7.39739740    0.04222746
   -7.35735736    0.04297102
   -7.31731732    0.04365334
   -7.27727728    0.04426985
   -7.23723724    0.04481717
   -7.19719720    0.04529328
   -7.15715716    0.04569761
   -7.11711712    0.04603100
   -7.07707708    0.04629564
   -7.03703704    0.04649487
   -6.99699700    0.04663298
   -6.95695696    0.04671492
   -6.91691692    0.04674601
   -6.87687688    0.04673161
   -6.83683684    0.04667690
